ลำดับ,เพศ,จังหวัดที่อาศัย,โรงเรียน,สำเร็จการศึกษาจาก,จังหวัด,เกรดเฉลี่ยสะสม,รายได้ครอบครัว,หลักสูตรที่เข้าศึกษา,ปัจจัยสถาบันการศึกษา1,ปัจจัยสถาบันการศึกษา2,ปัจจัยสถาบันการศึกษา3,ปัจจัยสถาบันการศึกษา4,ปัจจัยสถาบันการศึกษา5,ปัจจัยสถาบันการศึกษา6,ปัจจัยด้านโปรแกรมการศึกษา/หลักสูตร1,ปัจจัยด้านโปรแกรมการศึกษา/หลักสูตร2,ปัจจัยด้านโปรแกรมการศึกษา/หลักสูตร3,ปัจจัยด้านโปรแกรมการศึกษา/หลักสูตร4,ปัจจัยด้านโปรแกรมการศึกษา/หลักสูตร5,ปัจจัยด้านโปรแกรมการศึกษา/หลักสูตร6,ปัจจัยในการตัดสินใจ1,ปัจจัยในการตัดสินใจ2,ปัจจัยในการตัดสินใจ3,ปัจจัยในการตัดสินใจ4,ปัจจัยด้านเหตุผลส่วนตัว1,ปัจจัยด้านเหตุผลส่วนตัว2,ปัจจัยด้านเหตุผลส่วนตัว3,ปัจจัยด้านเหตุผลส่วนตัว4,ปัจจัยด้านเหตุผลส่วนตัว5,ปัจจัยด้านสื่อและการประชาสัมพันธ์1,ปัจจัยด้านสื่อและการประชาสัมพันธ์2,ปัจจัยด้านสื่อและการประชาสัมพันธ์3,ปัจจัยด้านสื่อและการประชาสัมพันธ์4,ปัจจัยด้านสื่อและการประชาสัมพันธ์5,จัดการเรียนการสอนที่ศูนย์แม่ริม,ความคาดหวังที่นักศึกษาคิดว่าจะได้รับ,ข้อเสนอแนะ
11,ญ,ตาก,มัธยมศึกษาของเอกชน,ภัทรวิทยา,ตาก,3.54,"30,001 ขึ้นไป",ชีววิทยา,5,5,4,1,5,5,4,4,4,4,5,4,5,2,4,4,4,4,3,3,4,4,4,4,1,4,ไม่สะดวก/ไม่ยินดีในการศึกษาต่อ เนื่องจาก ไม่มีที่พัก  ไม่สะดวกในการเดินทาง,1. เรียนจบออกมา                                       2. ได้รับความรู้มากขึ้น                                   3. ได้เจอเพื่อนๆและอาจารย์ที่น่ารัก                   4. เจอสังคมที่,
12,ญ,ลำพูน,มัธยมศึกษาของรัฐ,ส่วนบุญโญปถัมภ์,ลำพูน,3.22,"10,001-20,000",ชีววิทยา,3,3,4,3,3,4,4,3,3,2,4,4,3,3,3,3,4,4,4,3,4,3,3,3,3,3,ยินดี/พร้อมไปเรียนต่อที่ศูนย์แม่ริม,1. ได้รับความรู้,
13,ญ,เชียงใหม่,มัธยมศึกษาของเอกชน,เชียงใหม่คริสเตียน,เชียงใหม่,2.40,"30,001 ขึ้นไป",ชีววิทยา,5,3,5,5,4,2,5,5,4,5,3,5,5,2,5,2,3,1,3,1,4,5,3,1,2,5,ยินดี/พร้อมไปเรียนต่อที่ศูนย์แม่ริม  ข้อเสนอแนะ  เรื่องของการเดินทางไปศูนย์แม่ริมเพราะบางคนมีหออยู่ในตัวเมือง,1. อนาคตที่หลังจากการเรียนจบ                       2. สังคมที่ดี                                              3. อาจารย์ที่ดี                                            4. การสอนที่ดี,
14,ญ,ตาก,มัธยมศึกษาของรัฐ,สรรพวิทยาคม,ตาก,3.00,"10,001-20,000",ชีววิทยา,3,3,5,3,5,3,3,3,3,3,3,3,4,4,4,2,4,1,1,1,1,2,1,5,5,5,ยินดี/พร้อมไปเรียนต่อที่ศูนย์แม่ริม,1. ความรู้,
15,ช,เชียงใหม่,มัธยมศึกษาของรัฐ,วิทยาศาสตร์จุฬาลงกรณ์ราชวิทยาลัย,เชียงราย,3.06,"ไม่เกิน 10,000",ชีววิทยา,1,1,1,1,5,5,5,3,1,1,5,5,5,5,1,1,1,1,1,1,1,1,1,1,1,1,ไม่สะดวก/ไม่ยินดีในการศึกษาต่อ เนื่องจาก ศูนย์แม่ริมอยู่ไกลจากบ้านมาก ไม่สามารถขอทุนอยู่หอได้ พิจารณาใช้เวลาและเงินมากขึ้นในการเดินทาง,1. ได้รับการพัฒนาศักยภาพของส่วนต่างๆ            2. วินัย                                ,
16,ช,เชียงใหม่,มัธยมศึกษาของรัฐ,นวมินทราชูทิศพายัพ,เชียงใหม่,1.93,"10,001-20,000",วิทยาศาสตร์และเทคโนโลยีสิ่งแวดล้อม,4,4,3,4,5,4,3,4,4,4,3,4,3,3,3,3,5,3,3,4,5,3,3,3,3,4,ยินดี/พร้อมไปเรียนต่อที่ศูนย์แม่ริม,1. มีงานทำ                                               2. มีสังคมที่ดี                                             3. มีการศึกษาที่ดี                                        4. มีมิตรภาพที่ดี                                         5. มีที่ปรึกษาที่ดีและเข้าใจนักเรียน                   6. ไม่ได้รับความกดดันมากเกินไป,
17,ช,เชียงใหม่,มัธยมศึกษาของรัฐ,นวมินทราชูทิศพายัพ,เชียงใหม่,2.02,"30,001 ขึ้นไป",วิทยาศาสตร์และเทคโนโลยีสิ่งแวดล้อม,3,3,3,4,4,4,4,3,3,3,4,4,4,3,4,3,4,4,3,3,3,3,4,3,3,4,ยินดี/พร้อมไปเรียนต่อที่ศูนย์แม่ริม,1. มีงานทำ                                               2. มีสังคมที่ดี                                             3. มีการศึกษาที่ดี                                        4. มีอาจารย์ที่ปรึกษาที่ปรึกษาได้                   ,
18,ช,เชียงใหม่,          อื่นๆ          (พส.ปริยัต),บาลีสาธิตศึกษา(มจร),เชียงใหม่,3.52,"ไม่เกิน 10,000",วิทยาศาสตร์และสิ่งแวดล้อม,4,4,5,5,4,4,4,4,3,3,4,4,4,4,3,2,1,3,2,2,4,4,4,4,4,3,ไม่สะดวก/ไม่ยินดีในการศึกษาต่อ เนื่องจาก ไกลจากที่พัก,1. ได้ความรู้                                              2. ได้รับประสบการณ์                               ,
19,ช,พะเยา,สถาบันอาชีวศึกษา,วิทยาลัยเทคเทคนิคพะเยา,พะเยา,2.76,"10,001-20,000",เทคโนโลยีวิศวกรรมก่อสร้าง,4,3,3,3,4,4,5,4,4,4,5,5,4,4,4,4,4,4,3,3,4,4,4,4,4,5,ยินดี/พร้อมไปเรียนต่อที่ศูนย์แม่ริม  ข้อเสนอแนะ  แจ้งล่วงหน้าก่อน  ไกลมาก,1. เรียนจบตามหลักสูตร                                 2. มีงานทำที่มั่นคง                              ,
20,ช,เชียงใหม่,สถาบันอาชีวศึกษา,วิทยาลัยเทคโนโลยีโปลิเทคนิคลานนา,เชียงใหม่,3.53,"ไม่เกิน 10,000",เทคโนโลยีวิศวกรรมก่อสร้าง,5,5,5,5,4,5,4,4,5,5,5,5,4,4,4,4,5,5,4,4,5,4,4,5,,5,ยินดี/พร้อมไปเรียนต่อที่ศูนย์แม่ริม,,
21,ช,แพร่,มัธยมศึกษาของรัฐ,พิริยาลัย,แพร่,1.99,"30,001 ขึ้นไป",เทคโนโลยีวิศวกรรมก่อสร้าง,3,3,4,4,3,4,4,4,4,3,4,4,3,3,4,4,3,3,3,3,4,4,4,3,4,4,ยินดี/พร้อมไปเรียนต่อที่ศูนย์แม่ริม,1. ได้ความรู้                                              2.ได้ความสนุกในการเรียน                              3. ได้รู้จักกับอาจารย์                                    4. ได้เพื่อนที่ดี                                           5. ได้ประสบการณ์                                      6. ได้การเข้าสังคมใหม่,
22,ช,กำแพงเพชร,สถาบันอาชีวศึกษา,วิทยาลัยการอาชีพขาณุวรลักษบุรี,กำแพงเพชร,2.70,"10,001-20,000",เทคโนโลยีวิศวกรรมก่อสร้าง,5,5,4,3,4,4,4,5,5,5,4,5,4,4,5,5,1,1,4,4,5,4,4,5,5,5,ยินดี/พร้อมไปเรียนต่อที่ศูนย์แม่ริม,1. เรียนจบ                                               2. มีงานทำ                                               3. มีพ่อแม่ภูมิใจ                                        4. มีมีเงินเสี้ยงดูพ่อแม่ตอนแก่ชราได้                 ,
23,ช,น่าน,มัธยมศึกษาของรัฐ,ท่าวังผาพิทยาคม,น่าน,2.47,"10,001-20,000",เทคโนโลยีวิศวกรรมก่อสร้าง,3,3,5,1,4,4,4,4,5,4,4,4,4,3,,4,5,1,3,3,4,4,4,5,5,4,ยินดี/พร้อมไปเรียนต่อที่ศูนย์แม่ริม,1. ต้องการความรู้                                        2. ต้องการประสบการณ์ในชีวิตมหาวิทยาลัย                              ,
24,ช,เชียงใหม่,มัธยมศึกษาของเอกชน,,,1.88,"10,001-20,000",เทคโนโลยีวิศวกรรมก่อสร้าง,4,4,3,4,4,4,4,4,3,3,4,5,5,2,2,3,1,2,2,2,3,4,3,4,3,4,ยินดี/พร้อมไปเรียนต่อที่ศูนย์แม่ริม,1. มีงานทำ                                              2. เป็นที่ยอมรับ                                          3. การศึกษาที่ดี,
25,ช,เชียงใหม่,สถาบันอาชีวศึกษา,วิทยาลัยเทคโนโลยีโปลิเทคนิคลานนา,เชียงใหม่,3.81,"30,001 ขึ้นไป",เทคโนโลยีวิศวกรรมก่อสร้าง,4,5,5,4,5,4,5,5,4,5,5,4,5,4,4,4,4,5,5,5,4,5,4,5,5,4,ยินดี/พร้อมไปเรียนต่อที่ศูนย์แม่ริม,,
26,ญ,เชียงใหม่,มัธยมศึกษาของรัฐ,นวมินทราชูทิศพายัพ,เชียงใหม่,2.98,,เทคโนโลยีวิศวกรรมก่อสร้าง,4,3,4,5,4,5,4,3,4,4,4,5,3,3,4,5,5,3,3,3,4,3,3,3,3,3,ยินดี/พร้อมไปเรียนต่อที่ศูนย์แม่ริม,1. จบมามีงานทำ                                         2. ได้ทำงานสุจริต  เลี้ยงดูพ่อแม่                              ,
27,ช,ตาก,มัธยมศึกษาของรัฐ,สรรพวิทยาคม,ตาก,2.70,"10,001-20,000",เทคโนโลยีวิศวกรรมก่อสร้าง,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,ยินดี/พร้อมไปเรียนต่อที่ศูนย์แม่ริม,1. ความรู้ที่จะได้นำไปประกอบอาชีพ,
28,ช,เชียงใหม่,มัธยมศึกษาของรัฐ,เชียงดาววิทยาคม,เชียงใหม่,3.10,"ไม่เกิน 10,000",เทคโนโลยีวิศวกรรมก่อสร้าง,5,4,5,4,4,5,4,4,4,5,5,5,5,4,4,4,3,1,2,3,4,4,3,4,4,5,ยินดี/พร้อมไปเรียนต่อที่ศูนย์แม่ริม,1. ความรู้                                                  2. วุฒิ                                                     3. การเข้าสังคม                                          4. ความกล้าแสดงออก                                 5. มีความมั่นใจ                                          6. มีอาชีพหลังเรียนจบ,
29,ช,เชียงใหม่,สถาบันอาชีวศึกษา,วิทยาลัยเทคโนโลยีโปลิเทคนิคลานนา,เชียงใหม่,2.50,"30,001 ขึ้นไป",เทคโนโลยีวิศวกรรมก่อสร้าง,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,3,3,3,3,3,ไม่สะดวก/ไม่ยินดีในการศึกษาต่อ เนื่องจาก ไกล                          ข้อเสนอแนะ  มีรถรับส่งด้วย,1. ความรู้                                                  2. หางานทำ                                              3. เสนองานให้,
30,ญ,เชียงใหม่,มัธยมศึกษาของรัฐ,แม่ออนวิทยาลัย,เชียงใหม่,3.63,"10,001-20,000",อาชีวอนามัยและความปลอดภัย,4,4,5,3,5,5,5,5,5,5,5,5,3,3,5,5,4,1,4,5,5,5,4,5,5,5,ยินดี/พร้อมไปเรียนต่อที่ศูนย์แม่ริม,1. เรียนจบ                                               2. มีงานทำ                                               3. เพื่อนดี              ,
31,ญ,เชียงใหม่,มัธยมศึกษาของรัฐ,ดอยสะเก็ดวิทยาคม,เชียงใหม่,3.34,"ไม่เกิน 10,000",อาชีวอนามัยและความปลอดภัย,4,4,4,5,4,4,4,4,4,4,4,4,3,4,4,3,3,3,3,3,4,3,3,3,3,4,ยินดี/พร้อมไปเรียนต่อที่ศูนย์แม่ริม  ข้อเสนอแนะ  มีการอนุญาตให้ใช้รถจักรยานยนต์ส่วนตัว,1. ได้รับความรู้ในการนำไปประกอบอาชีพ            2. ได้ประสบการณ์เพื่อนใหม่สังคมที่ดี                3. มีงานทพที่มั่นคงและมีความสุข             ,อยากให้มีการเว้นคาบเรียนพักอย่างน้อยระหว่างคอบ 1 ชั่วโมง
32,ญ,เชียงใหม่,มัธยมศึกษาของรัฐ,พร้าววิทยาคม,เชียงใหม่,3.07,"20,001-30,000",อาชีวอนามัยและความปลอดภัย,4,3,5,4,4,5,3,4,4,3,4,4,3,3,4,4,4,4,3,4,5,4,3,4,3,4,ยินดี/พร้อมไปเรียนต่อที่ศูนย์แม่ริม,1. คาดหวังว่าจะมีกิจกรรมที่มากมาย,มีกิจกรรมเยอะๆ
33,ญ,เชียงใหม่,มัธยมศึกษาของรัฐ,เวียงแหงวิทยาคม,เชียงใหม่,3.17,"ไม่เกิน 10,000",อาชีวอนามัยและความปลอดภัย,3,3,5,3,4,4,3,4,3,3,4,5,3,4,3,2,3,1,3,2,4,4,3,3,3,4,,1. จบมามีงานรองรับ                                     2. ได้ประสบการณ์เกี่ยวกับการใช้ชีวิต การเข้ากับคนอื่น                           ,
34,ญ,เชียงใหม่,มัธยมศึกษาของรัฐ,ฮอดพิทยาคม,เชียงใหม่,2.81,"ไม่เกิน 10,000",อาชีวอนามัยและความปลอดภัย,4,3,5,5,5,5,4,4,4,5,3,5,3,3,4,5,3,4,4,4,4,5,5,5,5,5,ยินดี/พร้อมไปเรียนต่อที่ศูนย์แม่ริม,1. ได้ทำงานในหลักสูตรที่ตัเองศึกษา,
35,ญ,เชียงใหม่,มัธยมศึกษาของเอกชน,ฉือจี้เชียงใหม่,เชียงใหม่,3.04,"10,001-20,000",อาชีวอนามัยและความปลอดภัย,3,3,5,4,5,5,4,4,4,3,5,4,5,5,5,5,3,3,4,3,4,4,4,4,3,5,ข้อเสนอแนะ  อาจจะไปแค่บางช่วงดีกว่า,1. มีงานรองรับ,
36,ญ,ตาก,มัธยมศึกษาของรัฐ,,,2.66,"ไม่เกิน 10,000",อาชีวอนามัยและความปลอดภัย,4,,3,4,4,3,3,4,4,4,4,4,2,3,4,4,4,3,4,4,4,4,4,4,4,4,ยินดี/พร้อมไปเรียนต่อที่ศูนย์แม่ริม,1. ประสบการณ์จากการมาเรียนมาศึกษาที่มหาลัยนี้ 2. จบไปแล้วต้องมีงานมีการ                          ,
37,ญ,แม่ฮ่องสอน,มัธยมศึกษาของรัฐ,สบเมยวิทยาคม,แม่ฮ่องสอน,3.07,"10,001-20,000",อาชีวอนามัยและความปลอดภัย,4,3,2,1,5,5,5,5,4,5,5,5,4,3,3,3,3,1,2,2,5,5,5,4,1,5,ยินดี/พร้อมไปเรียนต่อที่ศูนย์แม่ริม  ข้อเสนอแนะ  อยากมีบริการรับส่ง,1. ได้ความรู้ที่มากพอ                                   2. มีงานรองรับ                                           3. จบมามีงานทำ                                         4. ประสบการณ์ในการทำงาน                          5. เรียนควบคู่กิจกรรม                                        ,
38,ญ,ตาก,มัธยมศึกษาของรัฐ,พบพระวิทยาคม,ตาก,3.26,"10,001-20,000",อาชีวอนามัยและความปลอดภัย,4,4,5,2,4,5,4,3,3,4,4,4,4,4,4,2,4,3,3,3,4,4,3,4,4,5,ยินดี/พร้อมไปเรียนต่อที่ศูนย์แม่ริม,1. จบมามีหน้าที่การทำงานที่มั่นคง                    2. มีผลการเรียนดี                       ,
39,ช,ลำพูน,มัธยมศึกษาของรัฐ,เวียงเจดีย์วิทยา,ลำพูน,2.30,"ไม่เกิน 10,000",เทคโนโลยีวิศวกรรมก่อสร้าง,4,3,4,3,3,3,3,3,4,3,4,4,3,4,3,3,3,3,4,3,4,3,3,4,3,4,ยินดี/พร้อมไปเรียนต่อที่ศูนย์แม่ริม,,
40,ช,เชียงใหม่,มัธยมศึกษาของรัฐ,สามัคคีวิทยาทาน,เชียงใหม่,3.83,"ไม่เกิน 10,000",เทคโนโลยีวิศวกรรมก่อสร้าง,5,4,3,5,4,5,5,4,5,4,5,5,3,4,4,4,5,4,4,4,4,5,5,4,4,3,ยินดี/พร้อมไปเรียนต่อที่ศูนย์แม่ริม  ข้อเสนอแนะ  รถรับส่งฟรี,1. คาดว่าจะจบตามหลักสูตร,
41,ช,ลำพูน,สถาบันอาชีวศึกษา,วิทยาลัยเทคนิคลำพูน,ลำพูน,2.98,"30,001 ขึ้นไป",เทคโนโลยีวิศวกรรมก่อสร้าง,5,4,3,3,4,3,4,4,4,5,5,5,5,5,5,5,2,2,3,2,4,3,3,3,2,5,ยินดี/พร้อมไปเรียนต่อที่ศูนย์แม่ริม,"1. ใบ กว. 
2. เรียนจบ
3. ประสบการณ์",
42,ช,เชียงใหม่,สถาบันอาชีวศึกษา,วิทยาลัยเทคนิคโปลิลานนา,เชียงใหม่,3.33,"20,001-30,000 ",เทคโนโลยีวิศวกรรมก่อสร้าง,4,3,4,4,3,4,4,4,4,4,4,4,4,3,3,3,5,4,4,4,3,3,4,4,4,4,ยินดี/พร้อมไปเรียนต่อที่ศูนย์แม่ริม,1. หวังว่าจะได้ทำงานดีๆ ,
43,ช,เชียงใหม่,สถาบันอาชีวศึกษา,วิทยาลัยเทคนิคโปลิลานนา,เชียงใหม่,3.93,"ไม่เกิน 10,000",เทคโนโลยีวิศวกรรมก่อสร้าง,4,4,5,4,4,4,5,4,5,4,4,4,5,3,4,5,5,4,3,4,5,5,4,5,4,5,ยินดี/พร้อมไปเรียนต่อที่ศูนย์แม่ริม,1. จบไปมีงานทำ,
44,ช,เชียงใหม่,สถาบันอาชีวศึกษา,วิทยาลัยเทคนิคโปลิลานนา,เชียงใหม่,,"10,001-20,000",เทคโนโลยีวิศวกรรมก่อสร้าง,5,4,4,1,4,4,4,4,4,4,4,4,2,4,4,4,4,4,2,3,5,3,3,4,4,5,"ยินดี/พร้อมไปเรียนต่อที่ศูนย์แม่ริม 
ข้อเสนอแนะ มีค่าใช้จ่ายการเดินสูงมาก","1. จบไปมีความรู้ที่ดี
2. ใช้ประกอบอาชีพได้
3. เป็นคนดีสร้างชื่อเสียงให้รุ่นน้อง",
45,ญ,เชียงใหม่,สถาบันอาชีวศึกษา,วิทยาลัยเทคนิคโปลิลานนา,เชียงใหม่,3.80,"10,001-20,000",เทคโนโลยีวิศวกรรมก่อสร้าง,3,3,2,3,3,3,2,3,3,3,3,3,3,2,3,3,4,1,2,2,3,3,3,3,3,3,"ไม่สะดวก/ไม่ยินดีในการศึกษาต่อ เนื่องจาก ไกล จากหอพัก
ข้อเสนอแนะ รถรับส่งฟรี","1. เรียนจบ 
2. มีงานทำ",
46,ช,เชียงใหม่,สถาบันอาชีวศึกษา,วิทยาลัยเทคนิคโปลิลานนา,เชียงใหม่,3.78,"10,001-20,000",เทคโนโลยีวิศวกรรมก่อสร้าง,3,3,3,2,3,5,4,4,4,3,4,5,3,3,1,1,2,1,1,3,4,3,3,3,3,4,"ไม่สะดวก/ไม่ยินดีในการศึกษาต่อ เนื่องจาก ไกล จากหอพัก
ข้อเสนอแนะ รถรับส่งฟรี","1. สังคมที่ดี
2. เรียนจบ
3. มีงานทำ",
47,ช,เชียงใหม่,สถาบันอาชีวศึกษา,วิทยาลัยเทคนิคโปลิลานนา,เชียงใหม่,3.23,"30,001 ขึ้นไป",เทคโนโลยีวิศวกรรมก่อสร้าง,5,4,4,5,5,4,4,4,4,4,4,5,5,1,4,3,4,5,5,4,4,4,5,4,4,4,ไม่สะดวก/ไม่ยินดีในการศึกษาต่อ เนื่องจาก ทำงานในเมือง เสียเวลาทำงาน โดนหักเงินเดือน เพราะต้องเดินทางไกล,,
48,ช,แม่ฮ่องสอน,มัธยมศึกษาของเอกชน,วิทยาลัยเทคนิคโปลิลานนา,เชียงใหม่,2.00,"10,001-20,000",เทคโนโลยีวิศวกรรมก่อสร้าง,3,3,4,2,3,2,3,3,3,3,4,4,3,1,2,3,3,3,3,3,4,2,4,3,3,3,ไม่สะดวก/ไม่ยินดีในการศึกษาต่อ เนื่องจาก ไกล,,
49,ญ,พิษณุโลก,สถาบันอาชีวศึกษา,วิทยาลัยเทคนิคพิษณุโลก,พิษณุโลก,3.36,"10,001-20,000",เทคโนโลยีสถาปัตยกรรม,1,1,2,3,1,1,2,1,1,1,4,5,1,1,1,2,1,1,1,1,2,1,1,1,1,5,"ยินดี/พร้อมไปเรียนต่อที่ศูนย์แม่ริม 
ข้อเสนอแนะ คณะสถาปัตยกรรมเรียนที่ศูนย์แม่ริม ซึ่งห่างไกลจากตัวเมือง ควรมีบริการหอพักนักศึกษา ทั้ง 4 ปี และเทียบโอน","1. จบการศึกษาด้วยผลการเรียนที่ดี
2. หลักสูตรการสอนที่เกี่ยวกับวิชาชีพที่ได้มาตรฐาน
3. ได้พบเจอกับสังคมใหม่ๆ และสร้าง Conection
4. ได้ทำกิจกรรมร่วมกับเพื่อนในสาขาวิชาเดียวกัน",
50,ช,อุตรดิตถ์,มัธยมศึกษาของรัฐ,อุตรดิตถ์,อุตรดิตถ์,2.46,"20,001-30,000 ",เทคโนโลยีสถาปัตยกรรม,4,4,5,4,4,3,3,4,5,3,5,4,1,1,4,3,1,2,2,4,4,5,4,4,4,4,ยินดี/พร้อมไปเรียนต่อที่ศูนย์แม่ริม,,
51,ช,พะเยา,มัธยมศึกษาของรัฐ,ปงรัชดาภิเษก,พะเยา,2.88,"ไม่เกิน 10,000",เทคโนโลยีสถาปัตยกรรม,3,3,5,1,3,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,ยินดี/พร้อมไปเรียนต่อที่ศูนย์แม่ริม,,
